"DIST_NAME","SCH_NAME","GROUP_LABEL","OFFENSE_LABEL","ARREST_NUMER","ARREST_PCT"
"Agawam","Agawam Junior High","All Students","All Offenses",1,0.2
"Agawam","Agawam Junior High","All Students","Physical attack (battery)",1,0.2
"Agawam","Agawam Junior High","Low income","All Offenses",1,0.4
"Agawam","Agawam Junior High","High needs","All Offenses",1,0.3
"Agawam","Agawam Junior High","Male","All Offenses",1,0.3
"Agawam","Agawam Junior High","Hispanic/Latino","All Offenses",1,1.1
"Boston","Dearborn 6-12 STEM Academy","All Students","All Offenses",2,0.3
"Boston","Dearborn 6-12 STEM Academy","All Students","Non-drug, non-violent or non-criminal-related offense",1,0.2
"Boston","Dearborn 6-12 STEM Academy","All Students","Weapon on school premises",2,0.3
"Boston","Dearborn 6-12 STEM Academy","English Learner","All Offenses",1,0.5
"Boston","Dearborn 6-12 STEM Academy","English Learner","Non-drug, non-violent or non-criminal-related offense",1,0.5
"Boston","Dearborn 6-12 STEM Academy","Low income","All Offenses",1,0.2
"Boston","Dearborn 6-12 STEM Academy","Low income","Non-drug, non-violent or non-criminal-related offense",1,0.2
"Boston","Dearborn 6-12 STEM Academy","Students w/disabilities","All Offenses",1,0.8
"Boston","Dearborn 6-12 STEM Academy","High needs","All Offenses",2,0.3
"Boston","Dearborn 6-12 STEM Academy","High needs","Non-drug, non-violent or non-criminal-related offense",1,0.2
"Boston","Dearborn 6-12 STEM Academy","Male","All Offenses",2,0.6
"Boston","Dearborn 6-12 STEM Academy","Male","Non-drug, non-violent or non-criminal-related offense",1,0.3
"Boston","Dearborn 6-12 STEM Academy","Male","Weapon on school premises",2,0.6
"Boston","Dearborn 6-12 STEM Academy","Afr. Amer./Black","All Offenses",1,0.3
"Boston","Dearborn 6-12 STEM Academy","Afr. Amer./Black","Non-drug, non-violent or non-criminal-related offense",1,0.3
"Boston","Dearborn 6-12 STEM Academy","Hispanic/Latino","All Offenses",1,0.5
"Boston","Henderson K-12 Inclusion School Upper","All Students","All Offenses",1,0.1
"Boston","Henderson K-12 Inclusion School Upper","All Students","Non-drug, non-violent or non-criminal-related offense",1,0.1
"Boston","Henderson K-12 Inclusion School Upper","All Students","Physical attack (battery)",1,0.1
"Boston","Henderson K-12 Inclusion School Upper","Low income","All Offenses",1,0.2
"Boston","Henderson K-12 Inclusion School Upper","Low income","Non-drug, non-violent or non-criminal-related offense",1,0.2
"Boston","Henderson K-12 Inclusion School Upper","Low income","Physical attack (battery)",1,0.2
"Boston","Henderson K-12 Inclusion School Upper","High needs","All Offenses",1,0.1
"Boston","Henderson K-12 Inclusion School Upper","High needs","Non-drug, non-violent or non-criminal-related offense",1,0.1
"Boston","Henderson K-12 Inclusion School Upper","High needs","Physical attack (battery)",1,0.1
"Boston","Henderson K-12 Inclusion School Upper","Female","All Offenses",1,0.3
